Country,Date,Round,Coordinates,Region
Japan,2021-08-06,2,"44.042585071652788,144.94967942190431",Hokkaido
Romania,2021-08-06,3,"44.433692512540738,26.10905994014907",București
Finland,2021-08-06,4,"67.817177463781761,23.681585603795941",Lappi
Poland,2021-08-06,5,"53.260325266688547,14.825136555903651","West Pomeranian Voivodeship"
Slovakia,2021-08-07,1,"48.638381895839657,19.945879032745491","Banskobystrický kraj"
Greece,2021-08-07,2,"37.667311582827743,23.959894053206011",Attica
Indonesia,2021-08-07,3,"-7.3445345,108.3886696","Jawa Barat"
Ecuador,2021-08-07,4,"-2.1783386291235431,-79.826013458856693",Guayas
Egypt,2021-08-07,5,"30.006642933908,31.229808278351271","Cairo Governorate"
Sweden,2021-08-09,1,"57.51007607343243,13.108334351516289","Västra Götalands län"
France,2021-08-09,2,"44.7302225,3.8977065",Auvergne-Rhône-Alpes
Australia,2021-08-09,3,"-35.982849945169718,139.74139210864891","South Australia"
Taiwan,2021-08-09,4,"24.139954366238289,120.6770057066245","Taichung City"
Argentina,2021-08-09,5,"-26.0735819119208,-65.975514809969624",Salta
Argentina,2021-08-10,1,"-27.010685240801159,-54.5220330398425",Misiones
Australia,2021-08-10,2,"-38.61516836743386,143.29215359487819",Victoria
Hungary,2021-08-10,3,"47.02114577600522,21.431574057541589",Hajdú-Bihar
Kenya,2021-08-10,4,"-0.53345342893502479,37.450499527611463","Embu County"
"Isle of Man",2021-08-10,5,"54.16799087359793,-4.5085236131228363",Braddan
France,2021-08-11,1,"42.214682314162538,9.55514633601004",Corse
Czechia,2021-08-11,2,"50.439875751921633,14.902955415992359","Středočeský kraj"
Taiwan,2021-08-11,3,"24.149177736486,121.65453646924951","Hualien County"
Thailand,2021-08-11,4,"17.9959238,102.9674048","Chang Wat Nong Khai"
Peru,2021-08-11,5,"-9.3582744060823337,-78.4250500469737",Áncash
Mongolia,2021-08-12,1,"49.156980211237411,104.74839261557",Selenge
Ecuador,2021-08-12,2,"-3.2563607398821519,-79.9589860492306","El Oro"
Germany,2021-08-12,3,"51.038559455757067,7.0015388349829664",Nordrhein-Westfalen
Switzerland,2021-08-12,4,"46.563011629981219,6.6039316267388974",Vaud
Finland,2021-08-12,5,"64.74339290140027,28.68294760981604",Kainuu
Canada,2021-08-13,1,"52.125397866227487,-119.2940827674897","British Columbia"
Australia,2021-08-13,2,"-34.6920171,140.7179903","South Australia"
Ecuador,2021-08-13,3,"-3.270347798568582,-80.003496845062188","El Oro"
"United States",2021-08-13,4,"32.332318723753339,-98.177903585385181",Texas
Sweden,2021-08-13,5,"58.889600222361118,17.55584620548856","Södermanlands län"
"New Zealand",2021-08-14,1,"-45.069561615719607,169.6017921941195","Otago Region"
Senegal,2021-08-14,2,"14.762439290814919,-17.421727269502281","Dakar Region"
Netherlands,2021-08-14,3,"53.337838577989942,5.8237916344502034",Friesland
Poland,2021-08-14,4,"53.755388410653822,23.381683629094791","Województwo podlaskie"
Colombia,2021-08-14,5,"3.376047296704662,-74.810068726503687",Huila
Türkiye,2021-08-15,1,"40.73559732106785,32.261887598962652",Bolu
Belgium,2021-08-15,2,"51.434341354600349,4.9354066776034173",Vlaanderen
Norway,2021-08-15,3,"68.273375802506976,14.2938096199112",Nordland
Ukraine,2021-08-15,4,"48.056414865837652,34.929365251561137","Zaporiz'ka oblast"
Canada,2021-08-15,5,"44.074944229815173,-77.9626372557346",Ontario
Russia,2021-08-16,1,"56.814001436300927,37.796819697955087","Moskovskaya oblast'"
Belgium,2021-08-16,2,"51.217629063512852,4.4205402096747664",Vlaanderen
"United Kingdom",2021-08-16,3,"51.5182498,-0.1207679","Greater London"
Ecuador,2021-08-16,4,"-0.17946905122472009,-79.207557255385254","Santo Domingo de los Tsachilas"
India,2021-08-16,5,"12.834664555673911,77.400853283462254",Karnataka
Kenya,2021-08-17,1,"0.63564390739048637,37.671716081545632","Samburu County"
Uruguay,2021-08-17,2,"-32.288468827379241,-58.089553534377373","Departamento de Paysandú"
Romania,2021-08-17,3,"47.797597859211663,23.6084531",Maramureș
Senegal,2021-08-17,4,"14.4353002391165,-16.866330331029911","Thiès Region"
"United Arab Emirates",2021-08-17,5,"25.267472085021279,55.301146839803778",Dubai
Canada,2021-08-18,1,"55.339591922375178,-118.7694101008224",Alberta
Colombia,2021-08-18,2,"3.2487949,-75.2437701",Huila
Poland,2021-08-18,3,"50.264777441856943,16.891593018869131","Województwo dolnośląskie"
"United Arab Emirates",2021-08-18,4,"25.267472085021279,55.301146839803778",Dubai
Egypt,2021-08-18,5,"29.977861389137541,31.132785344327971","Giza Governorate"
Türkiye,2021-08-19,1,"38.552657100042467,43.431105452139178",Van
Russia,2021-08-19,2,"51.211777925548361,81.1111661775841","Altayskiy kray"
Uruguay,2021-08-19,3,"-32.802235795145542,-56.512835032543272","Departamento de Durazno"
Albania,2021-08-19,4,"41.175477292248708,19.56393206862035","Qarku i Tiranës"
Serbia,2021-08-19,5,"42.696422472485963,22.32659686658819","Pčinjski Okrug"
Poland,2021-08-20,1,"52.294740347274313,21.0386405265906","Województwo mazowieckie"
"United States",2021-08-20,2,"32.582466352075478,-110.9552481320121",Arizona
"United States",2021-08-20,3,"36.616494321379619,-101.1913619281669",Oklahoma
Japan,2021-08-20,4,"34.2981047,134.9422561",Hyogo
Italy,2021-08-20,5,"38.099218574991781,13.391817041431761",Sicilia
Chile,2021-08-21,1,"-37.773592154216438,-73.502134261190974","Bío Bío"
Germany,2021-08-21,2,"53.083356516689634,8.7850230667642464",Bremen
France,2021-08-21,3,"42.06596632055215,8.7212243707467358",Corse
"United States",2021-08-21,4,"40.7060108,-74.0051993","New York"
Japan,2021-08-21,5,"45.4014464,141.691994",Hokkaido
Thailand,2021-08-22,1,"16.906336289692959,101.85978914095109",Loei
Bangladesh,2021-08-22,2,"24.72532695670477,90.4280458914784","Mymensingh Division"
Argentina,2021-08-22,3,"-34.050458840707307,-65.352926371766756","San Luis"
Poland,2021-08-22,4,"53.479902335024242,18.750927909671589","Województwo kujawsko-pomorskie"
Norway,2021-08-22,5,"58.794606695792488,7.3564579728689639",Agder
"New Zealand",2021-08-23,1,"-41.290136642403723,172.09850443478771","West Coast Region"
Colombia,2021-08-23,2,"1.595128193111722,-77.015670212806384",Nariño
Indonesia,2021-08-23,3,"-4.3238954465353272,104.3451893466347","Sumatera Selatan"
"United Kingdom",2021-08-23,4,"51.509383,-0.1176804","Greater London"
Albania,2021-08-23,5,"40.300484806518909,20.002166706539871","Gjirokastër County"
"South Korea",2021-08-24,1,"37.527025306768991,127.0128466578074",Seoul
Taiwan,2021-08-24,2,"25.04324195157902,121.5163781716695","Taipei City"
Japan,2021-08-24,3,"37.734881818865311,139.7810808179496",Fukushima
Italy,2021-08-24,4,"46.022616856338637,11.26242069704025","Trentino-Alto Adige"
Colombia,2021-08-24,5,"1.8026516497834,-78.780570302278889",Nariño
Bulgaria,2021-08-25,1,"43.121547750502,25.682569947634448","Veliko Tarnovo"
Russia,2021-08-25,2,"57.049037734482667,63.727317118176707","Sverdlovskaya oblast'"
Argentina,2021-08-25,3,"-26.18301697699593,-58.16803118185944",Formosa
Taiwan,2021-08-25,4,"24.1715988,121.5922357","Hualien County"
France,2021-08-25,5,"48.856274729081953,2.296814794094435",Île-de-France
France,2021-08-26,1,"48.951395281849159,2.3213167668826391",Île-de-France
Ecuador,2021-08-26,2,"-1.5931558434234121,-80.860870400649588",Manabí
Senegal,2021-08-26,3,"14.851015175288429,-15.85734703542245","Région de Diourbel"
Kenya,2021-08-26,4,"-1.376575936647076,36.774457517935417","Nairobi County"
"South Africa",2021-08-26,5,"-30.8234914,28.5379776","Eastern Cape"
Ireland,2021-08-27,1,"54.2290990912126,-8.90320574247611","County Sligo"
Estonia,2021-08-27,2,"58.074978021930427,24.735654947067509","Pärnu maakond"
Philippines,2021-08-27,3,"16.3756897,120.7192793",Benguet
Brazil,2021-08-27,4,"-21.2747226,-41.326523","Rio de Janeiro"
Canada,2021-08-27,5,"58.763257288300018,-94.055332009524",Manitoba
Senegal,2021-08-28,1,"14.722085201470749,-17.49593977547082","Dakar Region"
Mexico,2021-08-28,2,"17.978555107487711,-102.21156626445431",Michoacán
Norway,2021-08-28,3,"68.586457719194868,15.31208310809844",Nordland
Mongolia,2021-08-28,4,"47.919290066772668,106.9175455049273",Ulaanbaatar
Bolivia,2021-08-28,5,"-16.494125601410971,-68.201616392990218","Departamento de La Paz"
Greece,2021-08-29,1,"37.927859466399823,22.0457112140321","Western Greece"
Netherlands,2021-08-29,2,"52.061313760901562,5.6299333163231626",Gelderland
Ecuador,2021-08-29,3,"-4.1453123893869526,-80.119378567164432",Loja
Kenya,2021-08-29,4,"-4.0547525894642211,39.65309580770495","Mombasa County"
Bulgaria,2021-08-29,5,"43.63163898275927,27.156781291002471",Shumen
Chile,2021-08-30,1,"-21.6367823,-69.548605",Antofagasta
"United Kingdom",2021-08-30,2,"51.88071451989461,0.85358463815048369",Essex
Greenland,2021-08-30,3,"70.6789748517061,-52.144946497928473",Avannaata
Thailand,2021-08-30,4,"19.667068590938609,98.088819703976554","Mae Hong Son"
Bangladesh,2021-08-30,5,"23.646525282176309,88.84387665977664","Khulna Division"
Bolivia,2021-08-31,1,"-19.0535703,-65.2574488","Departamento de Chuquisaca"
France,2021-08-31,2,"48.097558306657213,-0.35161923813058987","Pays de la Loire"
"South Korea",2021-08-31,3,"37.527025306768991,127.0128466578074",Seoul
Iceland,2021-08-31,4,"64.568360334953979,-21.9398913576835",Borgarbyggð
Czechia,2021-08-31,5,"50.17858939272746,16.97647759958982","Olomoucký kraj"
Indonesia,2021-09-01,1,"1.690428273844462,100.5195998399731",Riau
Brazil,2021-09-01,2,"-16.014914673941359,-45.438580000195913","Minas Gerais"
Bulgaria,2021-09-01,3,"41.719296360675678,23.159442627998",Blagoevgrad
Egypt,2021-09-01,4,"29.97591274083068,31.137753872335111","Giza Governorate"
Hungary,2021-09-01,5,"46.843321228188941,17.116639312934112","Zala County"
Uruguay,2021-09-02,1,"-34.7915358,-55.237745","Departamento de Maldonado"
Australia,2021-09-02,2,"-29.261944654177519,151.98765033424269","New South Wales"
Latvia,2021-09-02,3,"56.889345078080083,21.17298638711965","Dienvidkurzemes novads"
Portugal,2021-09-02,4,"37.60881963834337,-8.1777686293268683",Beja
Ireland,2021-09-02,5,"52.101190184102173,-8.2718059515491973","County Cork"
Uruguay,2021-09-03,1,"-33.245191057372367,-58.034863718302368","Departamento de Soriano"
Japan,2021-09-03,2,"44.105576785355957,145.03860364305271",Hokkaido
"South Africa",2021-09-03,3,"-30.288918863373439,28.781096564964891","Eastern Cape"
India,2021-09-03,4,"16.827005236982931,75.7023293568958",Karnataka
Norway,2021-09-03,5,"69.901580313832056,21.3203802774083",Troms
India,2021-09-04,1,"22.62411216154949,75.790160473995286","Madhya Pradesh"
Finland,2021-09-04,2,"64.01868341994512,27.439742312960352",Kainuu
Argentina,2021-09-04,3,"-41.112373252868409,-71.420333338190289","Río Negro"
Czechia,2021-09-04,4,"50.086530384699913,14.4112330137603","Hlavní město Praha"
Indonesia,2021-09-04,5,"-6.767331,111.569379","Jawa Tengah"
Croatia,2021-09-05,1,"45.1539241,14.7724581","Primorsko-goranska županija"
Chile,2021-09-05,2,"-23.409385922621041,-67.99819980518906",Antofagasta
Belgium,2021-09-05,3,"51.220839302969061,4.33951026050638",Vlaanderen
Malaysia,2021-09-05,4,"3.4910877295295508,103.0956892834072",Pahang
Serbia,2021-09-05,5,"45.2510255,19.8614118","Južnobački okrug"
Bulgaria,2021-09-06,1,"42.5224477,27.4354229",Burgas
"New Zealand",2021-09-06,2,"-39.072609901200977,174.01828781448759","Taranaki Region"
Mexico,2021-09-06,3,"21.504160682895609,-105.20603632351769",Nayarit
Senegal,2021-09-06,4,"15.882850334190509,-16.240839206892279","Louga Region"
Japan,2021-09-06,5,"42.271252762809411,140.25423606924079",Hokkaido
Australia,2021-09-07,1,"-29.0513962,153.3365079","New South Wales"
"United States",2021-09-07,2,"47.519944232936382,-92.596799059976718",Minnesota
Iceland,2021-09-07,3,"65.808418320801408,-18.23026491478527",Hörgársveit
Malaysia,2021-09-07,4,"4.6739047995469436,101.4900250344365",Kelantan
Egypt,2021-09-07,5,"29.974182530070649,31.12694130285902","Giza Governorate"
Russia,2021-09-08,1,"50.100675147478611,43.303849997583583","Volgogradskaya oblast'"
Austria,2021-09-08,2,"47.221114658832938,14.77026853514576",Steiermark
France,2021-09-08,3,"49.158261824829182,4.4001005064614986","Grand Est"
Greenland,2021-09-08,4,"70.484153544232768,-21.972025848102561","Sermersooq Kommune"
"United States",2021-09-08,5,"39.7694842,-88.8487137",Illinois
Czechia,2021-09-09,1,"50.329034632585881,12.50960188748207","Karlovarský kraj"
Argentina,2021-09-09,2,"-32.843462284444932,-69.826561167485764",Mendoza
Latvia,2021-09-09,3,"56.932777402324717,24.038515360188551",Riga
Cambodia,2021-09-09,4,"14.16869777642783,104.69561983159559","Preah Vihear Province"
Argentina,2021-09-09,5,"-49.598611467204563,-71.456957321374375","Santa Cruz"
Taiwan,2021-09-10,1,"25.0918151,121.222927","Taoyuan City"
"United Kingdom",2021-09-10,2,"52.071830081651868,-1.3498320652601781",Oxfordshire
"United Kingdom",2021-09-10,3,"54.5417429,-1.2945932",Stockton-on-Tees
Argentina,2021-09-10,4,"-31.391753422372322,-66.976586606657079","La Rioja"
Russia,2021-09-10,5,"54.813107780448483,31.98370100698634","Smolenskaya oblast'"
Serbia,2021-09-11,1,"43.845664754525451,20.033537708264308","Zlatiborski okrug"
Latvia,2021-09-11,2,"56.406319,22.9011922","Dobeles novads"
Colombia,2021-09-11,3,"10.17331093101344,-73.6019376854082",Cesar
India,2021-09-11,4,"20.552771185868629,75.701847111705149",Maharashtra
Argentina,2021-09-11,5,"-34.868791407383164,-61.5302741802041","Provincia de Buenos Aires"
Greece,2021-09-12,1,"37.650382,23.0903075","Peloponnese Region"
Greenland,2021-09-12,2,"64.178303333538892,-51.745063816864729","Sermersooq Kommune"
Albania,2021-09-12,3,"40.300484806518909,20.002166706539871","Gjirokastër County"
Brazil,2021-09-12,4,"-5.0579114835463583,-48.757324539219823",Pará
Bangladesh,2021-09-12,5,"22.327517051758559,91.810911760743139","Chittagong Division"
Japan,2021-09-13,1,"36.9149739,139.5512794",Tochigi
Germany,2021-09-13,2,"52.4751624308208,13.32234502838792",Berlin
Lithuania,2021-09-13,3,"54.473333146434427,25.26578158332212","Vilniaus apskritis"
Chile,2021-09-13,4,"-51.06724458575416,-72.990524621283043","Magallanes y la Antártica Chilena"
Japan,2021-09-13,5,"36.9149739,139.5512794",Tochigi
Cambodia,2021-09-14,1,"13.928957891371249,105.9485344571473","Steung Treng Province"
Mexico,2021-09-14,2,"22.0421746764331,-100.4214647925627","San Luis Potosí"
Peru,2021-09-14,3,"-9.7564969,-77.3974193",Áncash
Netherlands,2021-09-14,4,"51.442029620335028,4.9365780981253424",Noord-Brabant
Russia,2021-09-14,5,"56.8381737,60.166644","Sverdlovskaya oblast'"
Slovakia,2021-09-15,1,"48.638381895839657,19.945879032745491","Banskobystrický kraj"
Bulgaria,2021-09-15,2,"42.0165061855219,23.094861898383542",Blagoevgrad
Botswana,2021-09-15,3,"-22.425934149005968,26.760192326011239","Central District"
"New Zealand",2021-09-15,4,"-43.393209994150787,170.1807602851699","West Coast Region"
Bolivia,2021-09-15,5,"-18.1017684704386,-63.96999651045455","Departamento de Santa Cruz"
Mongolia,2021-09-16,1,"47.937710455678143,106.8835425771835",Ulaanbaatar
Peru,2021-09-16,2,"-14.740593702048461,-71.352998591383837",Cuzco
"United Arab Emirates",2021-09-16,3,"25.3500076,55.4036546",Sharjah
Botswana,2021-09-16,4,"-20.34482604780931,22.978070995920721","North-West District"
Germany,2021-09-16,5,"52.4321788142292,10.804404937242939",Niedersachsen
Hungary,2021-09-17,1,"47.8170038,19.9895176","Heves County"
Estonia,2021-09-17,2,"58.172073352234662,22.131865148855479","Saare maakond"
"United States",2021-09-17,3,"47.248413166454569,-68.602065951151516",Maine
Lithuania,2021-09-17,4,"55.511598,24.7798028","Utenos apskritis"
Indonesia,2021-09-17,5,"-3.4429153516998858,114.830912092565","Kalimantan Selatan"
Japan,2021-09-18,1,"35.7072845,139.7390319",Tokyo
Senegal,2021-09-18,2,"13.3328653478856,-13.82326724515025","Kolda Region"
Mexico,2021-09-18,3,"16.513872194020749,-94.502933618570324",Oaxaca
India,2021-09-18,4,"27.172905799081661,78.042260963438991","Uttar Pradesh"
Türkiye,2021-09-18,5,"40.5070875,30.1770135",Sakarya
Sweden,2021-09-19,1,"66.891230018623659,21.288509010755391","Norrbottens län"
Argentina,2021-09-19,2,"-26.012742685779379,-54.609868330770077",Misiones
Indonesia,2021-09-19,3,"-8.332212005105065,116.6830901722053","Nusa Tenggara Barat"
Austria,2021-09-19,4,"46.82573536307018,14.851549153569859",Kärnten
Mongolia,2021-09-19,5,"47.918356691260861,106.8831959003809",Ulaanbaatar
Ukraine,2021-09-20,1,"49.544352115294267,26.020018721264631","Ternopil's'ka oblast"
Bolivia,2021-09-20,2,"-16.99720816182047,-65.074319559680134","Departamento de Cochabamba"
Germany,2021-09-20,3,"48.215065693128338,11.624823446003861",Bavaria
Bangladesh,2021-09-20,4,"21.816735415468,89.45965665832739","Khulna Division"
Bangladesh,2021-09-20,5,"21.816735415468,89.45965665832739","Khulna Division"
Germany,2021-09-21,1,"48.238343032610452,11.506576758818531",Bayern
Denmark,2021-09-21,2,"56.365041604930312,8.6244967750428216","Central Denmark Region"
"South Korea",2021-09-21,3,"35.818926737588811,128.5398517963464",Daegu
Chile,2021-09-21,4,"-32.391313129999382,-71.37551159769329",Valparaíso
Israel,2021-09-21,5,"30.8208831996468,35.245392126933147","South District"
"South Korea",2021-09-22,1,"34.7992132,126.4018416",Jeollanam-do
India,2021-09-22,2,"13.34987916144763,74.7848812648617",Karnataka
Canada,2021-09-22,3,"44.485191321807243,-77.686344846176837",Ontario
Croatia,2021-09-22,4,"45.750451497628937,18.68517554869636","Osječko-baranjska županija"
Peru,2021-09-22,5,"-4.5389718764461344,-80.481577672681226",Piura
Mongolia,2021-09-23,1,"47.929835616224032,106.9913177979212",Ulaanbaatar
Ukraine,2021-09-23,2,"49.8339096,24.0193599","L'vivs'ka oblast"
Slovenia,2021-09-23,3,"46.5604944,14.9434351","Ravne na Koroškem"
Canada,2021-09-23,4,"49.0678820676879,-64.50598824963167",Québec
Malaysia,2021-09-23,5,"5.9509354870635374,116.1045748243551",Sabah
Peru,2021-09-24,1,"-16.74399054614911,-69.799759513343773",Puno
"South Korea",2021-09-24,2,"37.527025306768991,127.0128466578074",Seoul
Russia,2021-09-24,3,"54.516328549991513,38.428610342137759","Moscow Oblast"
"Isle of Man",2021-09-24,4,"54.325646726643,-4.4013929795687838",Ramsey
Greenland,2021-09-24,5,"70.48456943268981,-21.949916641514282","Sermersooq Kommune"
Albania,2021-09-25,1,"41.687336228046533,20.424619105386942","Dibër County"
Albania,2021-09-25,2,"42.225883066423762,20.40251006939533","Qarku i Kukësit"
"United States",2021-09-25,3,"40.7072384658543,-74.004376408848486","New York"
Bhutan,2021-09-25,4,"26.855665524564809,90.267856369352046",Sarpang
Russia,2021-09-25,5,"58.110921062228208,57.807002260946057","Permskiy kray"
Germany,2021-10-21,1,"50.61163302868588,10.71669479171902",Thüringen
"United States",2021-10-21,2,"35.856473902957013,-101.9790780816149",Texas
Sweden,2021-10-21,3,"63.701086025711078,17.11943438825174","Västernorrlands län"
Mexico,2021-10-21,4,"25.648019280177351,-100.2842964886697","Nuevo León"
"United Arab Emirates",2021-10-21,5,"25.08977986229004,55.393035433326268",Dubai
Thailand,2021-10-22,1,"16.2825453,102.2146928","Chang Wat Chaiyaphum"
Colombia,2021-10-22,2,"2.97644488544983,-73.164572154487018",Meta
Belgium,2021-10-22,3,"50.505632367690808,3.42924847938513","Région wallonne"
Bulgaria,2021-10-22,4,"42.659489151462083,27.726034042888621",Burgas
Uruguay,2021-10-22,5,"-34.863137722200051,-56.168197504410919","Departamento de Montevideo"
France,2021-10-23,1,"47.352641182865433,-1.2619451633272241","Pays de la Loire"
Malaysia,2021-10-23,2,"4.3341793143631282,103.3848033612705",Terengganu
Chile,2021-10-23,3,"-23.6365586075959,-70.387499730446478",Antofagasta
Chile,2021-10-23,4,"-25.164090251267119,-69.867820307780335",Antofagasta
Netherlands,2021-10-23,5,"51.442029620335028,4.9365780981253424",Noord-Brabant
"United States",2021-10-24,1,"46.6743484,-112.1612176",Montana
Malaysia,2021-10-24,2,"5.2090627814613066,100.6121303505617",Kedah
Egypt,2021-10-24,3,"31.213835677261919,29.88503524007379","Alexandria Governorate"
Poland,2021-10-24,4,"53.242078564393928,23.66135336425501","Województwo podlaskie"
Hungary,2021-10-24,5,"47.463340735188858,19.03370564497877",Budapest
Thailand,2021-10-25,1,"17.999093639100771,102.40191440293231","Chang Wat Nong Khai"
Romania,2021-10-25,2,"46.7351824538041,23.483179299682561","Județul Cluj"
"United Kingdom",2021-10-25,3,"50.956793711252367,-2.649475101386463",Somerset
Türkiye,2021-10-25,4,"40.811088361294793,36.198916109245047",Amasya
Canada,2021-10-25,5,"42.3071714480819,-83.047594537283572",Ontario
Peru,2021-10-26,1,"-15.55506048821483,-71.573754681966165",Arequipa
Philippines,2021-10-26,2,"14.849884337568749,120.4486139663311",Bataan
Türkiye,2021-10-26,3,"39.088505077751037,28.9788109553219",Kütahya
"United Kingdom",2021-10-26,4,"51.505800568153987,-0.0758129655978621","Greater London"
Greenland,2021-10-26,5,"69.22715971128865,-51.096536910034871",Avannaata
Chile,2021-10-27,1,"-35.646746837878759,-71.811647217742774",Maule
Czechia,2021-10-27,2,"48.660744529108158,14.46510372660765","Jihočeský kraj"
Colombia,2021-10-27,3,"9.64833935383537,-73.6463780507519",Cesar
Belgium,2021-10-27,4,"51.434341354600349,4.9354066776034173",Vlaanderen
Australia,2021-10-27,5,"-37.7098231719412,145.71163404321609",Victoria
"Isle of Man",2021-10-28,1,"54.148619685432983,-4.5081138143579613",Douglas
Cambodia,2021-10-28,2,"13.880976278450371,104.069131995729","Siem Reap Province"
Argentina,2021-10-28,3,"-29.48487204505448,-56.980941227658548",Corrientes
Hungary,2021-10-28,4,"47.8170038,19.9895176","Heves County"
Germany,2021-10-28,5,"53.031412372186438,8.85015158750605",Bremen
Indonesia,2021-10-29,1,"-7.147970379020788,111.1417428352368","Jawa Tengah"
Bangladesh,2021-10-29,2,"24.72532695670477,90.4280458914784","Mymensingh Division"
Botswana,2021-10-29,3,"-22.670891350435241,28.175749918530691","Central District"
Uruguay,2021-10-29,4,"-32.839490018108911,-54.76311753052552","Departamento de Cerro Largo"
Philippines,2021-10-29,5,"15.8756201518604,120.5798597329954",Pangasinan
Norway,2021-10-30,1,"61.462435839268778,6.7403385085466594",Vestland
Greece,2021-10-30,2,"37.557295925009342,25.125330890621619","Southern Aegean"
Cambodia,2021-10-30,3,"11.40406898163441,105.871314922139","Svay Rieng Province"
Slovenia,2021-10-30,4,"45.7613989539968,14.15769525390207",Postojna
Argentina,2021-10-30,5,"-54.799337021681509,-68.370107092583737","Tierra del Fuego"
Serbia,2021-10-31,1,"42.669398051427358,22.319434863959579","Pčinjski Okrug"
"United States",2021-10-31,2,"36.344952102936119,-121.2601169999493",California
Denmark,2021-10-31,3,"57.34344613825926,10.45516858207394","North Denmark Region"
Taiwan,2021-10-31,4,"25.0918151,121.222927","Taoyuan City"
Malaysia,2021-10-31,5,"5.2090627814613066,100.6121303505617",Kedah
Bolivia,2021-11-01,1,"-17.23991228516271,-67.926290227307476","Departamento de La Paz"
Bulgaria,2021-11-01,2,"42.5125148,27.4411938",Burgas
Peru,2021-11-01,3,"-17.1218189,-71.7993741",Arequipa
Italy,2021-11-01,4,"46.3212580420655,10.840705750389169","Trentino-Alto Adige"
Japan,2021-11-01,5,"43.384348911907011,145.68994923127431",Hokkaido
Philippines,2021-11-02,1,"15.28336736221493,120.87928199472449","Nueva Ecija"
Thailand,2021-11-02,2,"15.761923010235471,100.9303583889821","Chang Wat Phetchabun"
Latvia,2021-11-02,3,"56.604026370472162,22.452258765447361","Saldus novads"
Norway,2021-11-02,4,"66.2005345,13.0122756",Nordland
Colombia,2021-11-02,5,"2.0831251807829378,-77.020284995777132",Cauca
Canada,2021-11-03,1,"51.150430357747638,-100.051442981382",Manitoba
Belgium,2021-11-03,2,"50.4900321,5.8664828","Région wallonne"
Japan,2021-11-03,3,"32.9948924,131.141037",Kumamoto
Spain,2021-11-03,4,"41.774393894068993,-4.0966981404662146","Castilla y León"
Lithuania,2021-11-03,5,"54.927222157445122,23.88365103199984","Kauno apskritis"
"United States",2021-11-04,1,"37.806824107116512,-122.4657845648733",California
"South Korea",2021-11-04,2,"37.42901527687615,126.4529764406619",Incheon
Switzerland,2021-11-04,3,"46.372359333926752,7.9748688073761684",Wallis
"Isle of Man",2021-11-04,4,"54.1501349815941,-4.4841659303539911",Douglas
Denmark,2021-11-04,5,"55.800012525773226,10.542805897616731","Central Denmark Region"
Finland,2021-11-05,1,"67.193349956839015,23.917574994193242",Lappi
Bangladesh,2021-11-05,2,"24.72532695670477,90.4280458914784","Mymensingh Division"
Austria,2021-11-05,3,"46.82573536307018,14.851549153569859",Kärnten
Finland,2021-11-05,4,"61.350457652899827,24.826095828372448",Pirkanmaa
Canada,2021-11-05,5,"48.686783213577158,-54.0391054414483","Newfoundland and Labrador"
"United Arab Emirates",2021-11-06,1,"24.17505961705622,55.739032721765447","Abu Dhabi"
France,2021-11-06,2,"49.346772802243748,0.0829328760949146",Normandie
"United States",2021-11-06,3,"29.925175130984549,-84.335139813497179",Florida
Türkiye,2021-11-06,4,"40.282716272771928,27.601007010265452",Balıkesir
Japan,2021-11-06,5,"32.8379387,132.9544996",Kochi
Kenya,2021-11-07,1,"0.018831473574719409,37.083235408017792","Laikipia County"
Finland,2021-11-07,2,"62.226998739655471,27.57015556594029",Pohjois-Savo
